type,11,54,55,38,44,40,58,60,37,35,52,34,39,150,41,31,32
send,00000001,1,AAPL,2892.0,107.0,2,NewOrderSingle,20231022-11:07:46.104,38516,,,,,,,,
send,00000002,2,MSFT,5432.0,108.0,2,NewOrderSingle,20231022-11:07:46.105,38517,,,,,,,,
send,00000003,1,BAC,1102.0,33.0,1,NewOrderSingle,20231022-11:07:46.106,38518,,,,,,,,
send,00000004,3,BAC,2387.0,42.0,2,NewOrderSingle,20231022-11:07:46.106,38519,,,,,,,,
send,00000005,2,MSFT,3425.0,148.0,1,NewOrderSingle,20231022-11:07:46.107,38520,,,,,,,,
send,00000006,1,MSFT,6444.0,207.0,1,NewOrderSingle,20231022-11:07:46.108,38521,,,,,,,,
send,00000007,1,BAC,399.0,59.0,2,NewOrderSingle,20231022-11:07:46.108,38522,,,,,,,,
send,00000008,3,BAC,7146.0,75.0,2,NewOrderSingle,20231022-11:07:46.109,38523,,,,,,,,
send,00000009,3,MSFT,5680.0,360.0,1,NewOrderSingle,20231022-11:07:46.110,38524,,,,,,,,
send,00000010,1,MSFT,126.0,210.0,2,NewOrderSingle,20231022-11:07:46.110,,,,,,,,,
send,00000011,2,MSFT,9890.0,106.0,2,NewOrderSingle,20231022-11:07:46.111,,,,,,,,,
send,00000012,1,BAC,7898.0,34.0,1,NewOrderSingle,20231022-11:07:46.111,38527,,,,,,,,
send,00000013,2,BAC,9833.0,5.0,1,NewOrderSingle,20231022-11:07:46.112,38528,,,,,,,,
send,00000014,2,AAPL,5388.0,152.0,2,NewOrderSingle,20231022-11:07:46.113,38529,,,,,,,,
send,00000015,3,MSFT,4242.0,215.0,1,NewOrderSingle,20231022-11:07:46.113,38530,,,,,,,,
send,00000016,2,BAC,6367.0,17.0,2,NewOrderSingle,20231022-11:07:46.114,38531,,,,,,,,
send,00000017,2,MSFT,749.0,278.0,1,NewOrderSingle,20231022-11:07:46.115,38532,,,,,,,,
send,00000018,1,BAC,3725.0,78.0,2,NewOrderSingle,20231022-11:07:46.115,38533,,,,,,,,
send,00000019,1,AAPL,5939.0,177.0,1,NewOrderSingle,20231022-11:07:46.115,38534,,,,,,,,
send,00000020,2,MSFT,7843.0,176.0,1,NewOrderSingle,20231022-11:07:46.116,38535,,,,,,,,
send,00000021,1,AAPL,2985.0,137.0,2,NewOrderSingle,20231022-11:07:46.116,38536,,,,,,,,
send,00000022,3,BAC,9587.0,36.0,1,NewOrderSingle,20231022-11:07:46.117,38537,,,,,,,,
send,00000023,1,MSFT,6536.0,244.0,2,NewOrderSingle,20231022-11:07:46.117,38538,,,,,,,,
send,00000024,2,AAPL,5521.0,265.0,2,NewOrderSingle,20231022-11:07:46.118,38539,,,,,,,,
send,00000025,3,BAC,2810.0,40.0,2,NewOrderSingle,20231022-11:07:46.118,38540,,,,,,,,
send,00000026,1,AAPL,1550.0,277.0,2,NewOrderSingle,20231022-11:07:46.119,38541,,,,,,,,
receive,00000001,1,AAPL,2892.0,107.0,2,,,38516,8,20231022-11:07:46.360,2.0,0,0,,,
send,00000027,1,MSFT,8387.0,320.0,1,NewOrderSingle,20231022-11:07:46.120,38542,,,,,,,,
send,00000028,1,BAC,3357.0,62.0,2,NewOrderSingle,20231022-11:07:46.120,38543,,,,,,,,
send,00000029,3,AAPL,6666.0,157.0,1,NewOrderSingle,20231022-11:07:46.121,38544,,,,,,,,
send,00000030,1,AAPL,8005.0,110.0,1,NewOrderSingle,20231022-11:07:46.121,38545,,,,,,,,
send,00000031,3,AAPL,9466.0,188.0,2,NewOrderSingle,20231022-11:07:46.122,38546,,,,,,,,
send,00000032,1,MSFT,7981.0,288.0,1,NewOrderSingle,20231022-11:07:46.122,38547,,,,,,,,
send,00000033,1,BAC,7290.0,54.0,2,NewOrderSingle,20231022-11:07:46.122,38548,,,,,,,,
send,00000034,2,AAPL,8479.0,274.0,1,NewOrderSingle,20231022-11:07:46.123,38549,,,,,,,,
send,00000035,2,MSFT,6364.0,237.0,1,NewOrderSingle,20231022-11:07:46.123,38550,,,,,,,,
send,00000036,2,MSFT,8595.0,285.0,2,NewOrderSingle,20231022-11:07:46.123,38551,,,,,,,,
send,00000037,2,MSFT,5713.0,341.0,2,NewOrderSingle,20231022-11:07:46.124,38552,,,,,,,,
